X1,X2,X3,y,ignore
1.00E+00,4.00E+00,1.60E+01,2.01E+03,3.64E+04
9.00E-01,1.02E+03,4.10E+03,1.68E+03,3.64E+04
6.00E-01,1.02E+03,4.10E+03,1.33E+03,2.42E+04
6.00E-01,1.60E+01,4.00E+00,2.86E+03,1.89E+04
7.00E-01,1.00E+00,4.10E+03,1.31E+03,1.12E+04
5.00E-01,6.40E+01,1.64E+04,1.27E+03,1.82E+04
6.00E-01,6.40E+01,4.00E+00,2.63E+03,1.90E+04
1.00E+00,1.00E+00,1.00E+00,2.55E+03,3.63E+04
1.00E+00,1.60E+01,6.40E+01,1.56E+03,3.00E+04
5.00E-01,2.56E+02,1.64E+04,1.28E+03,2.08E+04
8.00E-01,2.56E+02,4.10E+03,1.36E+03,3.08E+04
6.00E-01,2.56E+02,1.60E+01,1.80E+03,1.08E+04
5.00E-01,4.00E+00,6.40E+01,2.08E+03,1.49E+04
8.00E-01,6.40E+01,2.56E+02,1.35E+03,1.73E+04
1.00E+00,1.60E+01,4.00E+00,2.08E+03,3.63E+04
5.00E-01,1.00E+00,4.00E+00,3.62E+03,1.26E+04
9.00E-01,1.60E+01,1.60E+01,1.75E+03,2.78E+04
8.00E-01,1.00E+00,4.10E+03,1.31E+03,1.54E+04
1.00E+00,6.40E+01,1.02E+03,1.34E+03,1.97E+04
7.00E-01,1.00E+00,6.40E+01,1.98E+03,1.08E+04
5.00E-01,4.00E+00,1.60E+01,2.80E+03,1.27E+04
7.00E-01,2.56E+02,6.40E+01,1.43E+03,1.09E+04
9.00E-01,1.60E+01,1.02E+03,1.32E+03,1.53E+04
5.00E-01,2.56E+02,1.00E+00,5.00E+03,1.26E+04
1.00E+00,1.02E+03,4.00E+00,1.64E+03,3.62E+04
8.00E-01,1.02E+03,4.10E+03,1.54E+03,3.64E+04
9.00E-01,1.60E+01,4.00E+00,2.04E+03,3.63E+04
5.00E-01,6.40E+01,1.00E+00,5.02E+03,1.47E+04
1.00E+00,4.00E+00,2.56E+02,1.47E+03,2.59E+04
1.00E+00,6.40E+01,1.60E+01,1.57E+03,3.63E+04
8.00E-01,1.02E+03,4.00E+00,1.53E+03,1.92E+04
8.00E-01,6.40E+01,1.60E+01,1.63E+03,1.51E+04
9.00E-01,6.40E+01,1.60E+01,1.54E+03,2.58E+04
9.00E-01,1.02E+03,2.56E+02,1.47E+03,2.60E+04
7.00E-01,4.00E+00,1.00E+00,2.97E+03,2.71E+04
9.00E-01,1.00E+00,6.40E+01,1.89E+03,2.35E+04
8.00E-01,4.00E+00,1.60E+01,2.10E+03,1.50E+04
6.00E-01,1.00E+00,1.60E+01,2.60E+03,1.07E+04
9.00E-01,1.02E+03,6.40E+01,1.51E+03,2.15E+04
7.00E-01,1.60E+01,1.64E+04,1.27E+03,2.49E+04
1.00E+00,1.00E+00,4.00E+00,2.52E+03,3.63E+04
1.00E+00,1.02E+03,1.64E+04,2.25E+03,3.64E+04
8.00E-01,4.00E+00,1.00E+00,2.57E+03,2.94E+04
6.00E-01,6.40E+01,6.40E+01,1.63E+03,8.73E+03
8.00E-01,1.60E+01,1.60E+01,1.84E+03,1.71E+04
5.00E-01,1.60E+01,1.64E+04,1.27E+03,1.61E+04
5.00E-01,1.02E+03,2.56E+02,1.36E+03,1.10E+04
6.00E-01,1.00E+00,1.02E+03,1.44E+03,8.88E+03
6.00E-01,4.00E+00,4.00E+00,3.05E+03,1.88E+04
6.00E-01,6.40E+01,1.64E+04,1.27E+03,2.28E+04
1.00E+00,4.00E+00,1.64E+04,1.29E+03,2.73E+04
1.00E+00,4.00E+00,6.40E+01,1.72E+03,3.01E+04
6.00E-01,1.02E+03,4.00E+00,2.05E+03,1.48E+04
5.00E-01,1.00E+00,2.56E+02,1.73E+03,8.71E+03
7.00E-01,1.02E+03,1.02E+03,1.37E+03,1.96E+04
9.00E-01,6.40E+01,6.40E+01,1.45E+03,2.37E+04
6.00E-01,2.56E+02,2.56E+02,1.35E+03,1.09E+04
9.00E-01,4.00E+00,4.00E+00,2.24E+03,3.58E+04
9.00E-01,1.02E+03,1.02E+03,1.52E+03,3.64E+04
